date,equity
2025-08-07,1000000.0
2025-08-08,999675.872564498
2025-08-11,999425.872564498
2025-08-12,1000225.8725644981
2025-08-13,999975.8725644981
2025-08-14,1000475.8725644982
2025-08-15,1001725.8725644982
2025-08-18,1001525.8725644982
2025-08-19,1001266.4988754556
2025-08-20,1001266.4988754556
2025-08-21,1001564.2044745227
2025-08-22,1001564.2044745227
2025-08-25,1001580.1294745228
2025-08-26,1001430.8549399624
2025-08-27,1001423.7932603018
2025-08-28,1001580.6763219626
2025-08-29,1001030.6763219625
2025-09-01,1000776.3097827387
2025-09-02,1000249.3060327386
2025-09-03,1000599.3060327388
2025-09-04,1001099.3060327386
2025-09-05,1001099.3060327386
2025-09-08,1000999.3060327386
2025-09-09,1001049.3060327388
2025-09-10,1001149.3060327388
2025-09-11,1003049.3060327388
2025-09-12,1002099.3060327388
2025-09-15,1001765.8565370113
2025-09-16,1001486.9290370115
2025-09-17,1001436.9290370113
2025-09-18,1002286.9290370113
2025-09-19,1002236.9290370115
2025-09-22,1002300.7689627006
2025-09-23,1002631.5516960211
2025-09-24,1002694.5103642695
2025-09-25,1002694.5103642695
2025-09-26,1002694.5103642695
2025-09-29,1002314.0866142696
2025-09-30,1003014.0866142696
2025-10-01,1002614.0866142696
2025-10-02,1002569.2245925164
2025-10-03,1001839.1570925163
2025-10-06,1001839.1570925163
2025-10-07,1002289.1570925163
2025-10-08,1001789.1570925164
2025-10-09,1001739.1570925165
2025-10-10,1001739.1570925165
2025-10-13,1001739.1570925165
2025-10-14,1001639.1570925165
2025-10-15,1001989.1570925165
2025-10-16,1002439.1570925167
2025-10-17,1001939.1570925167
2025-10-20,1002089.1570925168
2025-10-21,1002539.1570925167
2025-10-22,1003289.1570925167
2025-10-23,1002889.1570925167
2025-10-24,1002940.1530251056
2025-10-27,1002759.0880251059
2025-10-28,1002309.0880251058
2025-10-29,1002309.0880251058
2025-10-30,1002109.0880251058
2025-10-31,1001409.0880251057
2025-11-03,1001309.0880251057
2025-11-04,1000659.0880251057
2025-11-05,1000809.0880251055
2025-11-06,1001409.0880251054
2025-11-07,1001309.0880251054
2025-11-10,1000959.0880251053
2025-11-11,1001109.0880251054
2025-11-12,1001409.0880251054
2025-11-13,1002259.0880251054
2025-11-14,1001609.0880251054
2025-11-17,1001726.967013398
2025-11-18,1001197.4695133978
2025-11-19,1001397.4695133978
2025-11-20,1001397.4695133978
2025-11-21,1000897.4695133979
2025-11-24,1000647.469513398
2025-11-25,1001097.4695133979
2025-11-26,1001447.4695133979
2025-11-27,1001897.469513398
2025-11-28,1001997.469513398
2025-12-01,1001997.469513398
2025-12-02,1001597.469513398
2025-12-03,1002047.469513398
2025-12-04,1002347.469513398
2025-12-05,1002047.469513398
2025-12-08,1002147.469513398
2025-12-09,1002447.469513398
2025-12-10,1001847.4695133981
2025-12-11,1003897.4695133982
2025-12-12,1006147.469513398
2025-12-15,1005868.9055783045
2025-12-16,1005868.9055783045
2025-12-17,1005868.9055783045
2025-12-18,1005868.9055783045
2025-12-19,1005732.677352358
2025-12-22,1005629.3536023581
2025-12-23,1005629.3536023581
2025-12-24,1005629.3536023581
2025-12-25,1005145.9373523581
2025-12-26,1004962.3907524137
2025-12-29,1004479.5445024137
2025-12-30,1004129.5445024136
2025-12-31,1004029.5445024137
